fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220903 185411	-0.724326190877764	6476	2988	9	5	16340000	1
20220903 185513	-0.460571815955336	4622	1117	9	5	16784000	2
20220903 185639	-0.326019362431543	5904	522	14	5	16824000	3
20220903 185708	0.0785623376912554	4187	165	15	5	0	4
20220903 185802	-0.885108704141749	7231	3262	5	5	16306000	5
20220903 185926	-0.741808144407696	5108	2013	17	5	17176000	6
20220903 190009	-0.0386951673601288	7958	2664	3	5	15782000	7
20220903 190111	-0.282437080726959	1132	319	6	5	19142000	8
20220903 190225	-0.383175169798778	6764	1252	10	5	15436000	9
20220903 190344	-0.538845875350359	6054	2074	13	5	16348000	10
20220903 190523	-0.466455834761395	3305	312	15	5	17710000	11
20220903 190652	-0.688430700401243	4422	1078	18	5	16784000	12
20220903 190740	-0.0692126461604078	6906	3163	4	5	15828000	13
20220903 190844	-0.35331069894268	5625	2741	7	5	17188000	14
20220903 190916	-0.617439392814413	3366	293	3	5	15782000	15
20220903 190953	-0.224605690489989	7173	3078	15	5	15612000	16
20220903 191052	-0.360955393115436	19	9	13	5	15254000	17
20220903 191116	-0.285017612297307	2723	1361	3	5	15782000	18
20220903 191147	-0.435130573475458	533	1	6	5	17842000	19
20220903 191235	-0.99980521591962	5474	4	15	5	15988000	20
20220903 191311	-0.835573334800357	1552	768	8	5	18930000	21
20220903 191355	-0.78422538563877	2515	1	12	5	18128000	22
20220903 191442	-0.934176525157343	1545	771	20	5	18934000	23
20220903 191513	-0.99975137732915	984	5	6	5	19296000	24
20220903 191553	-0.999529786436053	2126	1063	10	5	17538000	25
20220903 191639	-0.897033164465604	858	2	12	5	21676000	26
20220903 191730	-0.906200065578606	8	2	13	5	15598000	27
20220903 191825	-0.751562569790326	950	3	16	5	20600000	28
20220903 191913	-0.900900827737402	1186	5	13	5	19916000	29
20220903 191951	-0.693510591853759	7237	2700	14	5	15612000	30
20220903 192053	-0.349207861465728	973	17	19	5	18956000	31
20220903 192125	-0.326811902923765	4298	1255	4	5	17016000	32
20220903 192202	-0.450589371920587	6093	1976	15	5	16348000	33
20220903 192239	-0.0481357120424973	7549	2413	14	5	15612000	34
20220903 192315	-0.0160783523906255	5117	2482	18	5	17188000	35
20220903 192342	-0.821531918286136	4233	1949	5	5	17406000	36
20220903 192422	-0.31993169082643	6139	116	13	5	15596000	37
20220903 192508	-0.599314160111523	3083	503	19	5	18434000	38
20220903 192548	-0.948862769684009	6822	634	14	5	15476000	39
20220903 192605	0.0497172970503104	3945	1796	7	5	0	40
20220903 192654	-0.87671405052561	798	391	20	5	18750000	41
20220903 192738	-0.743436353948413	933	8	11	5	20876000	42
20220903 192812	-0.00946261607586192	7997	3946	20	5	16594000	43
20220903 192906	-0.519779300513133	1800	8	18	5	17912000	44
20220903 192946	-0.294832138495232	3769	1884	20	5	17798000	45
20220903 193009	-0.875644375751008	824	2	3	5	15782000	46
20220903 193046	-0.281144426949943	5174	2587	20	5	17188000	47
20220903 193130	-0.574113432136309	904	429	13	5	19644000	48
20220903 193215	-0.0131625782953495	5858	2929	20	5	16940000	49
20220903 193237	-0.592255816630878	8000	8	3	5	15782000	50
20220903 193318	-0.896037289069575	966	117	11	5	20346000	51
20220903 193415	-0.894962602309729	2991	4	20	5	16862000	52
20220903 193437	-0.449796450166566	6287	3141	3	5	15782000	53
20220903 193524	-0.999674159921465	794	8	13	5	20156000	54
20220903 193553	-0.999976259482875	5460	2	6	5	16392000	55
20220903 193642	-0.117709898887807	8000	3	18	5	15444000	56
20220903 193725	-0.768847742249054	880	427	12	5	19278000	57
20220903 193808	-0.747345895533404	831	389	12	5	18822000	58
20220903 193844	-0.745095621707282	6579	1	10	5	15824000	59
20220903 193907	-0.897948202437149	1536	1	3	5	15782000	60
20220903 193949	-0.672078777505467	1423	1	12	5	19296000	61
20220903 194034	-0.360282093584718	1639	818	16	5	18288000	62
20220903 194109	-0.999118206346844	8000	4000	19	5	16594000	63
20220903 194149	-0.837582538814388	3157	1578	20	5	18300000	64
20220903 194249	-0.85900984035457	7995	1	20	5	15484000	65
20220903 194311	-0.194692060575842	8000	4000	3	5	16764000	66
20220903 194355	-0.321073323517157	882	3	12	5	21518000	67
20220903 194427	-0.999780342142659	8000	2187	8	5	15612000	68
20220903 194456	-0.999615985685381	5525	2761	6	5	17218000	69
20220903 194519	-0.785289892354525	5715	1394	3	5	15782000	70
20220903 194555	-0.999998427829678	6454	2309	20	5	16348000	71
20220903 194632	-0.351728228991764	898	1	9	5	20454000	72
20220903 194722	-0.223488748639212	853	1	15	5	21006000	73
20220903 194744	-0.190371154060897	7993	2	3	5	15782000	74
20220903 194823	-0.171586034276068	5411	1491	18	5	16784000	75
20220903 194907	-0.550407557935168	877	1	12	5	20552000	76
20220903 194946	-0.261030492387427	740	7	10	5	21180000	77
20220903 195027	-0.573650395717296	3454	1725	16	5	18100000	78
20220903 195111	-0.259875099501965	910	19	12	5	19892000	79
20220903 195202	-0.111342889389296	568	283	17	5	19528000	80
20220903 195302	-0.3059843350943	697	2	15	5	20320000	81
20220903 195343	-0.339227658363754	1177	28	11	5	21526000	82
20220903 195426	-0.96838385894015	1623	1	12	5	19392000	83
20220903 195506	-0.310472794827897	1132	112	10	5	20302000	84
20220903 195549	-0.876310024501691	1685	153	12	5	19300000	85
20220903 195632	-0.999758476054438	3157	136	13	5	17444000	86
20220903 195716	-0.456895779097679	1194	5	12	5	20074000	87
20220903 195751	-0.329627075451999	75	12	8	5	21036000	88
20220903 195815	-0.26141424818057	266	1	4	5	16892000	89
20220903 195855	-0.784322624383354	599	3	10	5	21368000	90
20220903 195943	-0.610607928886735	1241	81	15	5	20826000	91
20220903 200025	-0.339958278798527	767	52	11	5	20958000	92
20220903 200102	-0.234419112636717	261	4	9	5	20706000	93
20220903 200144	-0.890389230999359	640	4	11	5	20274000	94
20220903 200239	-0.228392942437133	771	6	17	5	19228000	95
20220903 200329	-0.333995533477842	1919	16	12	5	18810000	96
20220903 200407	-0.702684553160124	168	60	9	5	20014000	97
20220903 200446	-0.117406807533141	1182	2	10	5	20780000	98
20220903 200533	-0.617957331417401	1565	6	14	5	18610000	99
20220903 200608	-0.535251910741169	496	1	8	5	19424000	100
20220903 200646	-0.653901596895995	1230	1	10	5	20252000	101
20220903 200742	-0.197561586598927	7	3	16	5	12772000	102
20220903 200822	-0.491235268992222	2767	1	11	5	18108000	103
20220903 200901	-0.114702479834003	684	22	10	5	20986000	104
20220903 200945	-0.354019683942533	189	5	12	5	18830000	105
20220903 201034	-0.306261596888539	1259	25	14	5	19750000	106
20220903 201119	-0.106520568122519	1374	686	18	5	18574000	107
20220903 201205	-0.998594576225135	1212	605	17	5	18234000	108
20220903 201234	-0.447481670023965	7999	3994	6	5	16594000	109
20220903 201320	-0.660253243326149	1310	655	17	5	18574000	110
20220903 201419	-0.99928927777423	1127	1	15	5	20372000	111
20220903 201458	-0.241350197416357	579	3	10	5	21344000	112
20220903 201549	-0.101242716607378	854	33	15	5	20324000	113
20220903 201633	-0.840208771164479	1982	986	16	5	18082000	114
20220903 201710	-0.821787322467028	1034	1	9	5	20454000	115
20220903 201745	-0.454281849685719	7996	3997	18	5	16594000	116
20220903 201831	-0.523035648398467	1283	641	20	5	18724000	117
20220903 201906	-0.999850920469824	9	4	8	5	20042000	118
20220903 201941	-0.198229015764188	656	1	8	5	19638000	119
20220903 202013	-0.812359851617563	53	3	7	5	19790000	120
20220903 202048	-0.098179738494353	1421	2	8	5	19154000	121
20220903 202105	0.0622339480072167	468	5	11	5	0	122
20220903 202140	-0.33960803978886	2245	2	8	5	18846000	123
20220903 202218	-0.221750476068992	1871	4	10	5	19038000	124
20220903 202253	-0.776293329637411	40	2	8	5	19836000	125
20220903 202333	-0.321731049328097	438	2	10	5	20284000	126
20220903 202416	-0.73155802860514	815	1	9	5	20454000	127
20220903 202512	-0.598112433546395	39	4	16	5	15202000	128
20220903 202546	-0.685286305838215	7746	3862	20	5	16548000	129
20220903 202621	-0.545211881136723	1193	2	8	5	20132000	130
20220903 202652	-0.563663484525343	5390	3	7	5	16556000	131
20220903 202745	-0.411402038635761	6295	1	20	5	15512000	132
20220903 202831	-0.582726235782232	7995	11	16	5	15524000	133
20220903 202922	-0.245785113078976	1256	1	15	5	19726000	134
20220903 202956	-0.0541132451330099	7997	3994	17	5	16594000	135
20220903 203047	-0.855454988285465	885	2	15	5	20700000	136
20220903 203137	-0.355271967936593	1018	16	15	5	19788000	137
20220903 203219	-0.377076214348694	3174	1587	18	5	18448000	138
20220903 203258	-0.999881935073362	7944	3939	12	5	16594000	139
20220903 203330	-0.999978014387585	3116	1548	7	5	18590000	140
20220903 203402	-0.600147050776573	3130	1562	7	5	18582000	141
20220903 203447	-0.145347454098782	7999	3997	10	5	16594000	142
20220903 203524	-0.861568093817732	7999	3991	16	5	16594000	143
20220903 203606	-0.582120915715347	1176	18	11	5	21018000	144
20220903 203653	-0.15665470858793	918	458	15	5	19914000	145
20220903 203717	-0.999991492172831	7998	574	3	5	15782000	146
20220903 203754	-0.53847513759616	4791	2394	20	5	17086000	147
20220903 203855	-0.77371811445559	1415	5	20	5	17914000	148
20220903 203941	-0.564082588162819	1252	624	15	5	18444000	149
20220903 204031	-0.397217150342979	2910	105	17	5	17458000	150
20220903 204103	-0.629344446048489	872	3	7	5	19668000	151
20220903 204207	-0.0749168010764219	787	2	20	5	19528000	152
20220903 204242	-0.574526386035381	7990	3995	10	5	16594000	153
20220903 204331	-0.790317645876126	3736	1	16	5	16554000	154
20220903 204402	-0.344206490772449	1402	3	6	5	17980000	155
20220903 204433	-0.787845073568376	2728	1	7	5	18180000	156
20220903 204529	-0.922921717323795	867	122	14	5	19710000	157
20220903 204602	-0.417029412311018	7998	3989	8	5	16594000	158
20220903 204630	-0.277233706995116	7999	2095	5	5	15612000	159
20220903 204653	-0.673310841767507	8000	3999	3	5	16764000	160
20220903 204744	-0.71639284479809	1131	3	15	5	20108000	161
20220903 204832	-0.893210886361708	868	34	14	5	20480000	162
20220903 204915	-0.614202838962307	910	6	11	5	20578000	163
20220903 204948	-0.275301045685587	10	2	7	5	19294000	164
20220903 205010	-0.0887570909252904	1121	2	3	5	15782000	165
20220903 205054	-0.825270866178733	942	3	12	5	21554000	166
