fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 224658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	122926	0.136390709825989	0.357540014757542	3561	468	9357	26210000	1
20221001 225604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	122926	0.0655618735421915	0.386801705727121	5813	768	8648	26534000	2
20221001 230128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	122926	0.0894689953380381	0.572455261114519	4206	785	9044	26368000	3
20221001 230922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260	TRUE	122926	0.0377081751361955	0.647222178224474	7908	499	9145	26470000	4
20221001 231206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	122926	0.19252023154886	0.85380218557897	6628	622	9991	26188000	5
20221001 231606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	122926	0.177885276035499	0.477174428004073	1797	386	7819	25458000	6
20221001 232028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	122926	0.155405898384575	0.525662203525426	5349	565	9534	25908000	7
20221001 232322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	122926	0.215459971917246	0.828912957020802	4094	111	9841	25504000	8
20221001 232623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	122926	0.173210453380737	0.756789288363652	4999	831	7975	25954000	9
20221001 233400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	122926	0.0454042825062061	0.253438990067225	2575	678	10594	26412000	10
20221001 234438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	299	TRUE	122926	0.0518851594547159	0.3051846934075	6151	1017	8804	26840000	11
20221001 234754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	122926	0.225315033106634	0.49178691922687	6544	253	8523	26016000	12
20221002 001257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	523	TRUE	122926	0.00982535710636294	0.613369356648764	2803	345	10758	26386000	13
20221002 001552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	122926	0.204204888288677	0.27245175658376	3449	204	10340	25576000	14
20221002 002214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	122926	0.0758566080206423	0.232299112448236	4600	142	8084	26840000	15
20221002 004334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	419	TRUE	122926	0.0168917204395868	0.896027990020811	1170	318	7598	26786000	16
20221002 004741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	122926	0.106591258241714	0.696178807879333	7062	934	10196	26146000	17
20221002 005012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	122926	0.244891264965781	0.792671173096169	2162	580	10834	25012000	18
20221002 005439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	122926	0.118113278636581	0.667417296933709	7604	57	9721	26320000	19
20221002 005836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	122926	0.146375262645481	0.438043611890171	1405	877	8337	25994000	20
20221002 011300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	444	TRUE	122926	0.0332377368628222	0.202536672539434	4110	1024	8069	26998000	21
20221002 012316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	122926	0.0375360621062407	0.200554631810758	3434	104	7809	26654000	22
20221002 014928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	849	TRUE	122926	0.0160379561051124	0.217254087062786	5389	1024	8466	27070000	23
20221002 021556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	757	TRUE	122926	0.0100832747532448	0.809234008253063	4568	1024	8036	26682000	24
20221002 023154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	519	TRUE	122926	0.023293052600069	0.200064578900982	7522	1024	7985	26494000	25
20221002 032754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1656	TRUE	122926	0.00715907986122026	0.20112276145935	3867	1024	8951	27204000	26
20221002 065209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3624	TRUE	122926	0.00144996818000984	0.243320557309071	1170	1024	8692	27308000	27
20221002 070638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	251	TRUE	122926	0.0231385716489974	0.20077342798184	1017	1024	8834	27004000	28
20221002 114300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6868	TRUE	122926	0.00100431700373302	0.325435393102998	2294	1024	8419	27106000	29
20221002 161417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5145	TRUE	122926	0.00103328614436961	0.200826030195335	1000	871	8803	27416000	30
20221002 213342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4499	TRUE	122926	0.00102284751437556	0.44660714596915	1018	571	8832	27308000	31
20221003 015911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4725	TRUE	122926	0.00103237913094282	0.203608242015248	1000	780	9160	27336000	32
