Feature	Gain	Cover	Frequency
campo8_rank	0.0916286823001511	0.00564294456905634	0.0032259665492084
compromiso_rank	0.0769153685625415	0.0166800122725958	0.00784158022730657
mcaja_ahorro_rank	0.0426025528682183	0.00948072551690935	0.0145416645987394
monto_total_rank	0.0419943685658558	0.0161780956326296	0.0173209588565189
gastos_tc_rank	0.034948112480027	0.00976427935482377	0.0122586728869919
mcuentas_saldo_rank	0.0321676578887526	0.0322418321779477	0.0290833291974788
campo1_rank	0.0273695740493156	0.00210185488887157	0.00143927738349298
has_payroll	0.0238811878273426	0.00502572161486884	0.00218373120254107
campo12_rank	0.0234431866858705	0.0174126709128509	0.0216387910069979
mrentabilidad_annual_rank	0.0232269908647177	0.0397076103124738	0.0290336989428756
campo9	0.0219627942623706	0.00167946031042581	0.0016377984019058
mtarjeta_visa_consumo_rank	0.0198308018435307	0.00966816169784785	0.0114149585587374
edad_sueldo_rank	0.0198144093700782	0.013406990057831	0.00699786589905206
monto_prod	0.0177942265429438	0.0108861976312427	0.0141942528165169
mingresos	0.0176501058072599	0.0089126897387045	0.00531043724254305
mcuenta_corriente_rank	0.0161293077501215	0.0158236662724212	0.0166261352920741
cpayroll_trx_rank	0.0161059454847268	0.00403291306619053	0.00203484043873145
ctarjeta_visa_transacciones_rank	0.0151860570376023	0.00924283206594879	0.0123579333961983
mcomisiones_mantenimiento_rank	0.0143644211229301	0.0146695861549994	0.0104719837212765
mprestamos_personales_rank	0.012735025089082	0.022460650110155	0.00967789964762519
balance_rank	0.0123815538961048	0.0173891274867602	0.00694823564444886
mpayroll_rank	0.0116512793672874	0.00715820275717571	0.00416894138666931
Visa_msaldopesos_rank	0.0114927307498148	0.00467838520675821	0.00769268946349695
mv_msaldototal_rank	0.0113605739647715	0.00850270023286494	0.0089334458285771
mrentabilidad_rank	0.0109060381201415	0.0180829970725615	0.0169239168196933
mautoservicio_rank	0.0108531096697052	0.012225267114248	0.0131520174698496
mdeuda_rank	0.0101188263432584	0.00920090321303272	0.00466524393270138
mactivos_margen_rank	0.0100681464809594	0.0231060322529165	0.0196535808228696
mv_msaldopesos_rank	0.00931795230581328	0.00575038057512911	0.00878455506476748
cdescubierto_preacordado	0.00930402081085082	0.0263220836064387	0.00744453819048092
desc_gastos_rank	0.00900048937321185	0.00140127596662124	0.00213410094793786
has_visa	0.00868108462171343	0.00504975440403055	0.00263040349396992
mv_mpagominimo_rank	0.00846172735155287	0.00724747383104822	0.0109682862673086
mcomisiones_rank	0.00811871743488668	0.0120736163109828	0.0140453620527073
mvr_mpagominimo_rank	0.00748293686418706	0.0101778147742259	0.0170728075835029
cliente_edad_rank	0.00712196516353702	0.0146713838611774	0.0201002531142985
ccajas_consultas_rank	0.00711453902347056	0.0176789564217089	0.00491339520571741
mvr_msaldopesos2_rank	0.00710027518937921	0.0144894161719355	0.0177180008933446
mvr_msaldopesos_rank	0.0069198287422847	0.010945334064696	0.0152861184177875
ccomisiones_mantenimiento	0.00690999881639777	0.00344647836148941	0.00342448756762122
Visa_fechaalta_rank	0.00688947974380557	0.025912091850654	0.0183135639485831
mcomisiones_otras_rank	0.00678035674997656	0.0120686473071103	0.014938706635565
Visa_msaldototal_rank	0.00619311424234667	0.00432211764135905	0.00724601717206809
ctarjeta_visa	0.0058840122456065	0.00750766648842939	0.00337485731301802
f_ccomisiones_rank	0.00577092384942319	0.00866906792738203	0.0122090426323887
cproductos	0.00556212420369644	0.0112958485203366	0.00888381557397389
chomebanking_transacciones_rank	0.00545653412877193	0.010415861221457	0.0150875973993747
ctarjeta_master	0.00542087069221186	0.00643281368971299	0.00377189934984367
has_debito_transacciones	0.0054076374196293	0.00193964396802636	0.00173705891111221
fraccion_vida	0.00529090094891461	0.01604936614562	0.0173705891111221
ctarjeta_debito_transacciones_rank	0.00521370425061079	0.00595836663013105	0.00699786589905206
mvr_msaldototal_rank	0.00517645398840923	0.0118613891093657	0.0129534964514368
has_master	0.00516368562245805	0.00639707443591538	0.00372226909524046
Master_Fvencimiento_rank	0.00515407133587911	0.0124202271117813	0.0141942528165169
ccomisiones_otras	0.00505845425038265	0.0065919331859167	0.00868529455556107
Master_fechaalta_rank	0.00503114929417593	0.016539986935941	0.0154350091815971
mv_Fvencimiento_rank	0.0048768799815357	0.0093119132569825	0.0139957317981041
mtransferencias_recibidas_rank	0.00484047227856436	0.00857220103866986	0.0151372276539779
mv_fechaalta_rank	0.00480574700411779	0.00997280877158038	0.0129038661968336
cliente_antiguedad_rank	0.00466315405196244	0.0105062415182903	0.015881681473026
numero_de_cliente	0.00439899723963175	0.0121356709233008	0.0159313117276292
mcuenta_debitos_automaticos_rank	0.00421841959976258	0.0125883610132442	0.00794084073651298
ccaja_seguridad_rank	0.00395654428042244	0.00575100380993675	0.00173705891111221
limite_ingresos_rank	0.00394173013830415	0.00520374515025588	0.00466524393270138
tcallcenter	0.00385851345164109	0.0147109570215173	0.00451635316889176
Visa_Fvencimiento_rank	0.00357232460075994	0.00914646354008821	0.0117623703409598
mvr_mpagospesos_rank	0.00353798293861251	0.00710181238178275	0.0120601518685791
mvr_mconsumospesos_rank	0.00327173286738917	0.00656755953006417	0.0116134795771502
mv_mconsumospesos_rank	0.00312079484447526	0.00675910861074406	0.00903270633778351
cmobile_app_trx_rank	0.0030606167310073	0.00837986110226836	0.00749416844508412
mv_mpagospesos_rank	0.00302712770327351	0.00471806411452035	0.00823862226413222
mtransferencias_emitidas_rank	0.00300145646761872	0.00759970274489608	0.00997568117524443
mvr_mconsumototal_rank	0.0028376916631337	0.00624788282270339	0.00987642066603802
thomebanking_rank	0.00282785907662034	0.00588683187390697	0.00476450444190779
mttarjeta_visa_debitos_automaticos_rank	0.00277987621913091	0.00697004209389764	0.00938011812000596
Visa_mpagominimo_rank	0.00276404273327528	0.00472494557177365	0.00853640379175145
campo7_rank	0.00276013335871333	0.00118844127981259	0.00178668916571542
Visa_mpagospesos_rank	0.00266462319689512	0.00565908905050837	0.00918159710159313
mv_mfinanciacion_limite_rank	0.00249741633240491	0.00537458236082126	0.00967789964762519
pagos_deb	0.00248154689081176	0.00374617218096556	0.00660082386222641
Master_mfinanciacion_limite_rank	0.00234936777228838	0.00357714055138621	0.00605489106159115
mv_mlimitecompra_rank	0.00224259530377269	0.0049000970521717	0.00863566430095786
mcaja_ahorro_dolares_rank	0.00221674636364855	0.00455558882511956	0.00764305920889374
mv_cconsumos	0.00220198336123086	0.00408681500224325	0.00670008437143283
Visa_mconsumototal_rank	0.00208373824464962	0.00421517099835726	0.00704749615365527
Visa_cconsumos	0.00207172457349155	0.00386039627156774	0.0064519330984168
Visa_mfinanciacion_limite_rank	0.00199115437236214	0.00445360331118218	0.0080897315003226
Visa_mconsumospesos_rank	0.00185952634360078	0.00445573850913326	0.00640230284381359
Master_mlimitecompra_rank	0.00183717769474908	0.00466182336048013	0.00739490793587771
ctransferencias_recibidas_rank	0.00170859161500904	0.00491287336572829	0.00630304233460718
cdebitos_aut	0.00166092217670932	0.00286657412259758	0.00536006749714626
cextraccion_autoservicio	0.00164777610812722	0.00713946858885151	0.00595563055238473
Visa_mlimitecompra_rank	0.00158350818031138	0.00448747736044719	0.00699786589905206
mv_mconsumototal_rank	0.00152256041319967	0.00443595361642218	0.00585637004317832
ccajas_transacciones_rank	0.00144500200714486	0.00412497519702649	0.00168742865650901
ctransferencias_emitidas_rank	0.00136342777966179	0.00330052779427166	0.00426820189587573
mextraccion_autoservicio_rank	0.00131781369406398	0.00533325761817901	0.0056578490247655
mpagomiscuentas_rank	0.00127282262551935	0.0044343359058565	0.00536006749714626
ctarjeta_visa_debitos_automaticos	0.00115628950171725	0.00376092057144958	0.00387115985905008
internet	0.00114449203678332	0.00735508420787042	0.00277929425777954
ctarjeta_debito	0.00101890775714381	0.00185304357905157	0.00277929425777954
campo11	0.000996528580650981	0.00160498487588555	0.00292818502158916
ccuenta_debitos_automaticos	0.000953850044241193	0.00223888217360883	0.00258077323936672
has_master_transacciones	0.000930285510642485	0.00124825044686695	0.00109186560127053
matm_rank	0.000862394091467324	0.00290302773398156	0.00332522705841481
Master_msaldototal_rank	0.000811570741103189	0.00266442780024267	0.00228299171174748
mvr_msaldodolares2_rank	0.000805326519136769	0.0028851901688012	0.00258077323936672
catm_trx_rank	0.000781204298700017	0.00525758408784429	0.00342448756762122
Master_mpagospesos_rank	0.000764358052906394	0.00218197431083047	0.00263040349396992
cpagomiscuentas	0.000737669322011054	0.00242285006409256	0.00302744553079557
mtarjeta_master_consumo_rank	0.000686666914673507	0.0017044853254004	0.00188594967492183
Master_mpagominimo_rank	0.000671214599585658	0.00412073180046617	0.00198521018412824
Master_msaldopesos_rank	0.000661883958400306	0.00433991358255407	0.00263040349396992
Visa_fultimo_cierre_rank	0.000639230168219616	0.00283650923047818	0.00188594967492183
matm_other_rank	0.000621717195565509	0.00475611068707332	0.00233262196635069
mvr_mconsumosdolares_rank	0.000608682128582327	0.00193951122126228	0.00173705891111221
cseguros	0.000529044909501627	0.00133041394399819	0.00173705891111221
has_pmc	0.000513788606814139	0.00125985453899835	0.00178668916571542
cseguro_vida_rank	0.000393659413904673	0.00507923431040993	0.00153853789269939
has_visa_transacciones	0.000382333616075853	0.00090278599312439	0.000794084073651298
Visa_mconsumosdolares_rank	0.000378479533232515	0.00175768190364737	0.00143927738349298
mv_fultimo_cierre_rank	0.000371520602395194	0.00107007391520945	0.00143927738349298
ctarjeta_master_transacciones_rank	0.000338344747697617	0.0011906529758989	0.00114149585587374
Master_fultimo_cierre_rank	0.000309109816324292	0.00126079501607269	0.000992605092064122
active_quarter	0.000268587593439503	0.000712801749299058	0.000446672291428855
has_da	0.000249673420959837	0.000377877163630086	0.000595563055238474
mv_mpagado_rank	0.000244923316109323	0.00251954708194561	0.000843714328254504
mvr_msaldodolares_rank	0.00023535278648876	0.000717791002677899	0.000794084073651298
Master_mconsumospesos_rank	0.000207114383535573	0.00137228879823057	0.000992605092064122
ccaja_ahorro	0.000164016520830378	0.000791503705810977	0.000446672291428855
Master_mconsumototal_rank	0.000130085516560983	0.000866947741740005	0.000694823564444886
cseguro_accidentes_personales_rank	9.92551165664252e-05	0.0005325766425789	0.000347411782222443
catm_trx_other_rank	9.54462380114177e-05	0.00110509543650296	0.000595563055238474
Master_cconsumos	7.43796477421013e-05	0.000246731235525196	0.000248151273016031
Visa_mpagado_rank	6.04519158604326e-05	0.00107866420580715	0.000347411782222443
mvr_madelantopesos_rank	5.12943187164572e-05	0.000119623958971611	0.000198521018412824
cdescuentos	4.54258139486274e-05	0.000235807751802862	0.000198521018412824
mvr_mpagosdolares_rank	4.37842564929256e-05	0.000192918172306058	0.000148890763809618
campo3_rank	4.11835360863808e-05	9.7190880814345e-05	0.000148890763809618
mplazo_fijo_dolares_rank	3.88896448715782e-05	0.000210282124031518	0.000198521018412824
Visa_msaldodolares_rank	3.27064856656321e-05	0.000288505967198227	0.000148890763809618
mttarjeta_master_debitos_automaticos_rank	3.16128174368124e-05	9.38373375624112e-05	9.92605092064122e-05
mv_mpagosdolares_rank	2.81783158585846e-05	9.28439867769508e-05	4.96302546032061e-05
mv_msaldodolares_rank	2.15108593091028e-05	9.60479086761482e-05	4.96302546032061e-05
cplazo_fijo_rank	1.81255906998879e-05	0.000127576390118179	9.92605092064122e-05
cseguro_vivienda_rank	1.48767145783851e-05	0.000129424720062133	4.96302546032061e-05
campo4_rank	1.26171006574902e-05	0.000354298863389469	9.92605092064122e-05
ctarjeta_master_debitos_automaticos	9.78948342710552e-06	9.09832821346501e-05	9.92605092064122e-05
