num_iterations	ganancia	iteracion
23	25930000	1
51	25690000	1
45	26490000	1
71	26330000	1
128	26090000	1
53	26730000	1
49	25610000	1
128	26330000	1
86	26730000	1
81	26170000	1
127	26630000	2
138	25910000	2
129	26470000	2
74	26230000	2
262	27270000	2
211	26470000	2
170	26630000	2
289	26390000	2
105	26950000	2
83	26390000	2
133	26160000	3
54	25920000	3
110	26560000	3
183	26400000	3
295	26240000	3
73	26400000	3
64	26880000	3
90	26480000	3
67	26640000	3
57	2.6e+07	3
207	26510000	4
292	26590000	4
201	26670000	4
259	26510000	4
203	26590000	4
577	26590000	4
215	26270000	4
215	26270000	4
204	26030000	4
231	26670000	4
39	25620000	5
63	26660000	5
95	26180000	5
118	26100000	5
65	26340000	5
63	26500000	5
47	26180000	5
100	26180000	5
99	26420000	5
38	25700000	5
86	25810000	6
73	25010000	6
28	26130000	6
66	26130000	6
18	24930000	6
21	25410000	6
85	25090000	6
33	25090000	6
13	25730000	6
86	25250000	6
101	25820000	7
26	25020000	7
83	26060000	7
122	26380000	7
125	25900000	7
49	26540000	7
114	25740000	7
43	25100000	7
38	26060000	7
166	26460000	7
110	24960000	8
70	25280000	8
38	26080000	8
98	25040000	8
47	24880000	8
34	25760000	8
53	24960000	8
32	2.6e+07	8
33	25760000	8
71	26320000	8
79	25570000	9
37	25410000	9
38	26850000	9
39	25330000	9
151	25330000	9
114	26130000	9
71	25490000	9
103	26770000	9
121	26690000	9
31	25970000	9
164	26420000	10
94	26660000	10
207	25940000	10
116	26180000	10
88	26500000	10
139	26820000	10
300	26500000	10
65	25940000	10
239	26340000	10
167	26820000	10
378	26720000	11
161	26160000	11
453	26880000	11
360	27520000	11
179	26880000	11
398	27040000	11
321	26320000	11
176	26880000	11
238	26800000	11
335	27200000	11
36	25920000	12
83	25680000	12
44	25600000	12
31	25680000	12
119	2.6e+07	12
35	26800000	12
53	26240000	12
49	25840000	12
56	26640000	12
42	25760000	12
976	26410000	13
419	26330000	13
402	26410000	13
536	26330000	13
507	26570000	13
568	26490000	13
488	26410000	13
374	26090000	13
397	26090000	13
564	26730000	13
63	25560000	14
36	26040000	14
52	25480000	14
65	25880000	14
31	25560000	14
97	25400000	14
30	24840000	14
60	25320000	14
16	26280000	14
53	25400000	14
173	27520000	15
176	26560000	15
149	26960000	15
251	26880000	15
317	27120000	15
110	27280000	15
235	26560000	15
185	26560000	15
161	26960000	15
76	2.6e+07	15
427	26650000	16
346	26730000	16
341	26810000	16
698	26810000	16
413	26490000	16
368	27210000	16
329	26650000	16
527	26330000	16
358	26810000	16
388	27370000	16
80	26010000	17
226	26090000	17
72	25770000	17
89	26410000	17
75	26090000	17
161	26010000	17
118	26170000	17
148	26170000	17
225	26490000	17
111	26250000	17
16	24740000	18
20	24660000	18
13	25620000	18
21	24580000	18
68	24820000	18
59	25300000	18
45	25060000	18
21	25380000	18
27	24980000	18
33	24980000	18
133	26320000	19
144	26880000	19
128	26400000	19
53	26240000	19
59	25760000	19
81	2.6e+07	19
107	26480000	19
180	26240000	19
305	26560000	19
172	26320000	19
67	26290000	20
47	26050000	20
45	26130000	20
65	25890000	20
46	25730000	20
18	26610000	20
26	25010000	20
40	25730000	20
73	26610000	20
29	25890000	20
432	26830000	21
512	27070000	21
562	26990000	21
410	27230000	21
483	26990000	21
567	26910000	21
302	26830000	21
233	26830000	21
316	27310000	21
628	26990000	21
386	26630000	22
244	26310000	22
165	26310000	22
354	27270000	22
181	26550000	22
449	26550000	22
224	26790000	22
198	26230000	22
357	26790000	22
275	27110000	22
960	27310000	23
531	26430000	23
619	26990000	23
1162	27310000	23
789	27310000	23
997	27070000	23
856	27310000	23
882	26990000	23
1275	27150000	23
428	26830000	23
502	26730000	24
444	26410000	24
1013	26890000	24
1029	26730000	24
434	26650000	24
913	26730000	24
1051	26890000	24
814	26490000	24
953	26650000	24
423	26650000	24
552	26190000	25
417	26430000	25
611	26350000	25
382	26670000	25
1357	27230000	25
461	26110000	25
367	26670000	25
283	26350000	25
323	26670000	25
439	26270000	25
1211	27380000	26
1959	27060000	26
1337	27380000	26
1847	26980000	26
2029	27060000	26
1128	27060000	26
1440	27380000	26
2287	27300000	26
1042	26980000	26
2284	27460000	26
5275	27340000	27
3357	27260000	27
3094	27260000	27
2996	27420000	27
4686	27420000	27
2546	27180000	27
5136	27340000	27
2744	27180000	27
3818	27340000	27
2588	27340000	27
373	26420000	28
304	26820000	28
233	27140000	28
304	26980000	28
169	27380000	28
316	26740000	28
196	27220000	28
178	27220000	28
177	26740000	28
265	27380000	28
5843	27250000	29
6407	27090000	29
6171	27090000	29
9446	27170000	29
7183	27170000	29
6952	27090000	29
8584	27010000	29
6604	27010000	29
4587	27010000	29
6906	27170000	29
4900	27280000	30
4524	27600000	30
8022	27280000	30
7237	27440000	30
3858	27520000	30
5281	27520000	30
3817	27360000	30
4232	27360000	30
4276	27360000	30
5311	27440000	30
4515	27380000	31
4410	27300000	31
3935	27220000	31
4545	27300000	31
4583	27460000	31
4503	27300000	31
4526	27380000	31
4762	27060000	31
4342	27380000	31
4878	27300000	31
4709	27360000	32
5009	27280000	32
4927	27280000	32
4429	27360000	32
4500	27440000	32
4956	27520000	32
4552	27360000	32
5272	27200000	32
4951	27360000	32
3945	27200000	32
