fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220922 211537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	102191	0.223125602138753	0.742656474355608	289	496	10325	24230000	1
20220922 211633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	102191	0.229090896983282	0.516493951147422	3017	98	13144	23720000	2
20220922 211757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	102191	0.0918821595194749	0.443545754551887	3989	545	8790	26580000	3
20220922 211819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	102191	0.295486206716858	0.648863569181412	5710	649	6082	24720000	4
20220922 211850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	102191	0.257220714092662	0.762573864702135	2041	413	11616	24690000	5
20220922 211959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	102191	0.0602107780878432	0.627261158768088	7392	234	9672	26100000	6
20220922 212033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	102191	0.140509922730213	0.83197834555991	6230	994	7421	25560000	7
20220922 212120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	102191	0.191629000578076	0.368256743066013	2686	955	11393	25060000	8
20220922 212519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	102191	0.0246735930744326	0.588917160974816	5225	806	9039	27130000	9
20220922 212631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	102191	0.171174606640532	0.215653228452429	1525	207	12500	24440000	10
20220922 212811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	102191	0.15820858184644	0.847502986853942	974	445	7710	25860000	11
20220922 212956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	102191	0.0486988846026943	0.355804955251515	6507	21	12961	24320000	12
20220922 213027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	102191	0.283180814915569	0.554538311557844	3231	770	8427	25550000	13
20220922 213715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	102191	0.00815130802796921	0.986543751778081	1956	309	10967	26070000	14
20220922 213807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	102191	0.123756660973537	0.258684688517824	4068	712	14608	22950000	15
20220922 213851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	102191	0.0976798294857726	0.310436545349658	6869	323	5915	25530000	16
20220922 213940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	102191	0.109725172005885	0.921137810368091	7885	860	14281	24080000	17
