Feature	Gain	Cover	Frequency
mpasivos_margen	0.0939818831074937	0.0296804344801274	0.0430268887303501
mcuentas_saldo	0.0662078494436434	0.0313577582381617	0.0370488818913134
mpayroll	0.048515086645851	0.013807471704627	0.008561096213929
cprestamos_personales	0.0381803695872609	0.0145981495040879	0.00344411916652316
mtarjeta_visa_consumo	0.0353598240075587	0.0119650163327284	0.0150065192255652
cdescubierto_preacordado	0.034580152020971	0.0074827418581745	0.00282909788678688
mrentabilidad_annual	0.0317113371285757	0.0322125730658499	0.0300130384511304
cliente_edad	0.0286842120977652	0.0324159473355943	0.0371964869984502
mcuenta_corriente	0.0281494903715574	0.0238295041349654	0.0211813328741174
numero_de_cliente	0.0254370345285845	0.0293108179043491	0.0328175354867278
Visa_fechaalta	0.024892952682251	0.0142179138400368	0.020886122659844
ctrx_quarter	0.0222544333835408	0.0373125143450794	0.0477256513075352
Master_fechaalta	0.0205963441184418	0.0192627081641297	0.0251666707668085
Master_Fvencimiento	0.0205650253591022	0.021296407305018	0.0259784988560604
Visa_Fvencimiento	0.0200797494220757	0.0185471567118921	0.0261015031120077
mrentabilidad	0.0185517081739491	0.0188839011551046	0.0205663115943812
Master_mfinanciacion_limite	0.018196970054794	0.0141363977460963	0.0229771950109474
cliente_antiguedad	0.0181680377744373	0.0236469455431767	0.0261261039631971
mactivos_margen	0.0179894742536919	0.0234243976776254	0.0215995473443381
Visa_mpagominimo	0.0178455332026191	0.0138249683730405	0.0219439592609904
Visa_mfinanciacion_limite	0.0162414756738108	0.014728662367504	0.0203449039336761
Visa_msaldopesos	0.0157846990685664	0.0129404479743839	0.0150557209279441
cpayroll_trx	0.014933544099084	0.0105600865625565	0.00452655661885901
mcomisiones	0.0138495112931766	0.0110371615168335	0.0159905532731433
mcaja_ahorro	0.0137676077314439	0.0230124484853894	0.0324239218676966
chomebanking_transacciones	0.0120701181455258	0.0141602841612269	0.01837683583852
Visa_mconsumospesos	0.0118830846464407	0.0113342651387288	0.0215257447907698
mtransferencias_recibidas	0.0112052672602271	0.0111343579708159	0.0198528869098871
ccomisiones_otras	0.0109158522470318	0.0133037836948342	0.0162119609338483
Visa_status	0.0104900346636283	0.0078230361606743	0.00137764766660926
Visa_mpagospesos	0.00952715462838299	0.0132797709656922	0.018155428177815
cproductos	0.00938951323587267	0.0186739803350427	0.0127678417673252
mcomisiones_otras	0.00917176993645091	0.0112441422693876	0.0118822111245049
mcomisiones_mantenimiento	0.00898155331489939	0.0116062540506236	0.011562400059042
mttarjeta_visa_debitos_automaticos	0.0077622601231203	0.00689712832281802	0.0112425889935792
mcaja_ahorro_dolares	0.00771794910498998	0.0108431606178698	0.0124972324042412
Master_status	0.00704764109338899	0.00762215332591435	0.0011070383035253
mprestamos_personales	0.00695737013510065	0.0211532020612792	0.00560899407119486
Visa_cconsumos	0.00676989559381311	0.00522413844207304	0.0101847523924328
ctarjeta_visa_transacciones	0.00663961460208135	0.0098047374854012	0.0149573175231863
mtransferencias_emitidas	0.00658862582038765	0.0106285966689732	0.0135550690053876
ccomisiones_mantenimiento	0.00640918047316321	0.00714415497265705	0.00260769022608182
mautoservicio	0.00631960526414697	0.0083529277943594	0.0136042707077665
ctransferencias_recibidas	0.00587508033690475	0.006220076510139	0.00890550813058132
