Feature	Gain	Cover	Frequency
campo8_rank	0.101130941503857	0.00800410888843448	0.00256068516874685
compromiso_rank	0.0643557591787919	0.0151463273063118	0.00741856842094492
campo1_rank	0.0606562314989465	0.00187619350589483	0.00123301723410188
mcaja_ahorro_rank	0.0451062487452176	0.0128987924646282	0.0184313053354856
mcuentas_saldo_rank	0.036823730643001	0.029550368886083	0.024110347368071
gastos_tc_rank	0.0340938858844785	0.0112361708126754	0.0129748203555285
edad_sueldo_rank	0.0301520577996723	0.0240631486658378	0.0113299446677121
mrentabilidad_annual_rank	0.0247697980357161	0.0322788836909147	0.0257168511502618
campo12_rank	0.024666474134443	0.0203802646502696	0.0216852429325345
monto_total_rank	0.023825305979692	0.011196945697228	0.0154843429834412
has_payroll	0.017642629893236	0.00660168853936664	0.00246347634116205
mtarjeta_visa_consumo_rank	0.0171918108835662	0.0099059361475334	0.0113069215243367
mingresos	0.0167798122969612	0.0131305953304376	0.00769484614144908
monto_prod	0.0160870870216754	0.00961217622160195	0.0147092304898046
mcomisiones_mantenimiento_rank	0.0154321643739362	0.0164538242552044	0.0120027320796805
mpayroll_rank	0.0151281126138944	0.0137375327503525	0.00819112278753988
cpayroll_trx_rank	0.0150994762509373	0.00535549785577491	0.00295719486021115
mprestamos_personales_rank	0.015070802823346	0.0204725689495741	0.00759763731386428
mdeuda_rank	0.0138832986480967	0.0107208613231964	0.00589904095817207
mactivos_margen_rank	0.0137967442933441	0.0190317636472417	0.0187126993100731
mrentabilidad_rank	0.0120333978591167	0.0148750854782552	0.0173875895024699
balance_rank	0.0115731199783973	0.0219347049975172	0.00675601351714329
mv_msaldototal_rank	0.0111796935267089	0.00670956186089568	0.00937041935376595
mcuenta_corriente_rank	0.010734673745723	0.0144751542483211	0.0156634118763606
ctarjeta_visa_transacciones_rank	0.00991708557489376	0.0092851115224082	0.0117571518836768
mv_msaldopesos_rank	0.00981548605994274	0.0057449554685031	0.00918879233380488
cdescubierto_preacordado	0.00934906982675567	0.017000694109197	0.0047223025189877
cliente_edad_rank	0.0079079213731927	0.0122272202723824	0.0205136207474336
mv_mpagominimo_rank	0.00782760794442185	0.00712134760707763	0.0116292455315916
mvr_msaldopesos2_rank	0.00749992622100412	0.0120984847974159	0.0176894484933911
mcomisiones_rank	0.00746768809212167	0.0110637805385508	0.0147603930306387
mautoservicio_rank	0.00733574634271124	0.0163334974672701	0.0171931718473003
mvr_mpagominimo_rank	0.00709554593433783	0.0090374091619581	0.0149471363046832
ctarjeta_master	0.00709549061326035	0.00393471086283039	0.00257859205803879
ccajas_consultas_rank	0.00695728250157196	0.0171855103849912	0.00381928367326578
mcomisiones_otras_rank	0.00668407173964866	0.00971917136816195	0.0132638887112412
ccaja_seguridad_rank	0.00640249946804477	0.0203311774060226	0.00404184072589413
Visa_fechaalta_rank	0.00637738420188181	0.0130851732352511	0.0132536562030744
ccomisiones_mantenimiento	0.0061327455373359	0.0168129095522524	0.00524671856253725
mvr_msaldopesos_rank	0.00607049012142891	0.00969198257357075	0.0135273757965368
cproductos	0.00595850712779089	0.00921078149939934	0.00843158672946016
Master_Fvencimiento_rank	0.00592790554327604	0.00885972764730897	0.0129722622284868
ctarjeta_visa	0.00578210561006735	0.00977042852553933	0.00311324060975516
mvr_msaldototal_rank	0.00573685369249137	0.0120823733466637	0.0147808580469723
Visa_msaldopesos_rank	0.00570168048715661	0.00603667156036211	0.00925018738280581
chomebanking_transacciones_rank	0.0055005603070923	0.00697534288353856	0.0132255168056156
Master_fechaalta_rank	0.00542791849659693	0.0116927361185452	0.0147169048709297
has_master	0.00538631090456912	0.00251109042466564	0.0017420845154012
fraccion_vida	0.00516191756338066	0.00836259752405315	0.0144099296259251
desc_gastos_rank	0.00500151783830129	0.00185064015669924	0.00216417547728255
mv_Fvencimiento_rank	0.00496199987274952	0.00640032525793753	0.011677849945384
limite_ingresos_rank	0.00493906882916823	0.00625367272487456	0.00636717820680411
numero_de_cliente	0.00489023229461391	0.0089875243457703	0.0153282972338972
f_ccomisiones_rank	0.00481637674193433	0.00974640046426731	0.0131334242321142
mcuenta_debitos_automaticos_rank	0.00469701579302282	0.0123783878686602	0.00808879770587167
mv_fechaalta_rank	0.00466397413896038	0.00764395585003594	0.011104829488042
has_visa	0.00456095882037165	0.00656265806530616	0.00210278042828163
mtransferencias_recibidas_rank	0.00448371065858645	0.00652501665010039	0.0130797035642384
has_debito_transacciones	0.00442904407433754	0.00342659166102708	0.0028318466351676
Visa_msaldototal_rank	0.00429070515843523	0.00542202709780094	0.00774345055524147
cliente_antiguedad_rank	0.00425770690907591	0.00715169962273581	0.0123941255170614
mvr_mpagospesos_rank	0.00414093186186764	0.00607635561552137	0.0118415700760531
